country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
Afghanistan,6.609698157,-0.6974181931,1.8978039945,-3.6935645325,-1.6402803124,3.5752354128,-0.780359936,-1.5819158128,3.982901732,-0.8226296831,1.5863665229,2.0984878766,2.6367200771,0.7013724879,-0.2421938314,0.2458378607,-1.1570984434,-0.893316378,-1.0298289777,0.5453033371,0.0960852472,0.6854561953,0.8937271428,1.4750986349,0.1708964352,-0.511269876,0.4224390325,-0.4959765531,0.7900043156,0.9092672335
Algeria,4.1700174879,2.7829875143,-4.2214538258,-0.3055088215,1.4910911666,2.3595985282,0.9813144591,-0.2480461506,2.3352135451,0.6908788664,-0.6791742292,-1.1738726535,0.437005732,0.5114619146,0.1214005241,0.0960060719,0.7514321101,1.1263480795,-0.4570900913,-0.7466731998,-0.0144663915,-0.5604326549,0.0479140882,-0.5539849483,-0.8654641606,-0.6957262216,-0.2091177368,-0.1365614527,-0.1932701642,0.049596641
Angola,2.5181656032,-1.1294904346,2.5867985049,-1.70683127,1.5690580487,0.2196528774,0.4751225987,1.0703875831,-0.0707629324,3.2847164334,-2.6828199391,3.5152343645,2.4283329827,-0.2327120035,1.0406115789,2.0337077671,-1.4499808893,0.0998946822,-0.4933418807,-0.1088056045,2.2620496329,0.2424049879,1.6942488092,0.9724045655,-1.9784286982,-2.294829066,0.8275615447,0.0165453428,-0.809659132,-0.0712797259
Argentina,-3.275988872,-2.6742292663,-1.2903000387,0.5652830702,0.142303241,-0.6068710437,0.5310528554,0.5601360593,-0.9207862539,-0.9533129442,-1.0589253755,0.9642057448,-0.6638398272,-0.9891134957,0.8125877215,1.1172299192,0.2308097875,0.5358018561,0.561665413,-1.8360375362,1.4352048577,-0.3626929511,-0.0432830548,-0.2275651119,0.3658546631,0.7276090987,0.4086887712,-0.2471461429,0.0442126805,0.8591234197
Bangladesh,5.2147731497,2.9222492239,-1.8151371003,1.8215335526,3.039887622,2.7080279185,-1.6659572843,-0.0523779003,1.0358299329,-0.0051738832,2.0242521517,-0.8192080799,1.1810821129,0.4597636048,-0.704884123,0.3085193925,0.1432991766,0.1844215648,1.7252435628,-0.042090791,-1.1516087679,-1.1167640466,1.4039605432,0.2561828029,0.0103812353,0.4061728625,1.0191216814,-0.6735429132,-0.6012598726,0.2825515759
Benin,4.4823839401,-3.6027996299,0.7229599645,0.1747953561,1.9682644787,1.7610659972,-1.2543698603,3.2526329031,1.0392603765,-3.2319529247,2.3603990201,-0.2971343768,1.9654984487,0.3265469146,-0.3407943562,2.3788032122,0.4068260948,0.698965828,0.1704404405,-1.2535620863,0.433739307,0.5474400477,-0.3946509445,0.5349828336,-1.1434585614,0.5624513856,0.6680453905,0.2259488598,-1.5655646277,-1.0951951563
Bolivia,0.9493913641,-1.6353257996,-2.2198152355,-0.0074305079,0.1401350641,-1.3752106894,-0.838855068,-0.212834581,0.0242161066,-1.1083700723,-0.4186323188,1.2565915085,-0.2530443501,0.554163991,0.5678703776,-0.5658032672,1.4021332193,-0.0866283608,-0.4418336484,0.3867960938,-0.2101263239,-0.4137502721,0.033902162,-0.3135125997,0.1602711369,-0.8944117996,0.4162959315,-1.1782159865,-0.600848588,0.2094786782
Botswana,2.0848188404,-3.7734278823,-0.7068358977,0.3127924085,-0.2782630224,0.0466305505,0.488975151,-0.0320712796,2.3341197219,0.4357954879,-0.2769334808,-0.9345849094,-0.8807482539,1.4652905517,-0.1470698155,1.3850749625,-0.3365863669,-0.2855388874,-0.0319353091,-0.0391770074,-0.4477617648,0.429814344,0.0261591635,-1.0916869697,1.89733473,0.1892914467,0.5843179387,1.1773044178,-0.1105022697,1.0555042286
Brazil,-2.3084697558,-1.0418175042,-0.9122224384,0.5797727006,-0.8477561761,-1.348288633,0.0214639638,0.2452803995,0.614503823,-1.5339364172,-1.2538434458,-0.2021010775,-0.1479531124,-0.7556995455,0.2835253479,-0.7529088766,0.6404778846,-0.0362048647,0.6092281102,0.4430485948,0.4845307895,0.5862721774,0.1612775794,0.2544266725,0.0917367542,0.1231436846,0.7089371666,-0.7739974286,-0.3418630522,0.8009757772
Burkina Faso,7.1259126025,-2.0171649565,2.6498441224,1.3752413934,0.7837482853,2.2606149331,1.5173631449,1.1856757284,1.6780153796,-0.0566633814,-0.4410282418,-0.0315148917,-0.9689727917,-0.9304075277,-0.4786213844,1.7267396602,0.2120493964,-0.2543447062,2.3817437945,0.2308867255,0.2717091712,0.0946760109,-0.2544357871,-0.5652690875,1.9870511183,-0.8406696163,0.4265853708,-1.0440801684,-0.4643258837,0.2747550559
Burundi,9.8222128857,-0.9614606596,0.9324919628,0.197039831,1.4985999087,2.2723481865,1.5573022642,-0.9831349254,-4.355302248,-4.1435281413,1.0600622713,-1.3374326441,1.9439142438,1.6038998062,3.2857729052,-1.890091914,-1.5022479948,1.582059408,0.3691287297,0.3932100333,-0.0586251486,0.4203276981,0.5419227616,-0.9743184852,-0.3546914942,0.1092738453,0.1440332295,1.5996254252,1.5026531161,0.2897347355
Cambodia,5.2020209797,0.6208012204,-1.3191918272,1.2975783221,0.9190689029,-1.8686189911,-1.3362443354,-2.4205279403,-1.2272255134,-0.896146134,1.7593675774,3.0667667723,-0.8607755512,-0.2310063144,0.0376347466,0.5164694844,-0.1199743357,-0.380417776,0.2729217654,1.1482341865,-0.104704878,0.1623396095,-0.8975267186,0.16502155,0.6617834539,-1.3622192015,0.2324566356,0.2246176178,-0.247046652,1.1008774905
Cameroon,6.6952095836,-0.2500468481,-1.1811462989,1.1788223667,0.6306699388,0.7396599883,-0.5604807931,0.0017442101,-0.5742497309,-0.4806386129,0.2148228395,0.1961153126,-0.0509530393,0.3642373756,0.6277342419,-0.6886022954,-0.5086887904,-0.5708945449,0.4853643806,-0.2485360997,-0.0021183762,-1.092277382,0.1052047893,0.6373352214,0.1312461992,0.3349599873,-0.5939358475,-0.9769881158,0.1029359278,-0.788462168
Central African Republic,9.0264107614,-4.332147319,7.4525217582,0.2485462246,-4.2523133937,1.9992755812,2.8374937618,0.4977986629,-1.1088372942,-0.3423877919,-0.0996065618,-2.2470536399,0.0200219373,-0.8454597355,-0.4068045244,-1.4287442898,-1.9027104458,0.9006181793,0.7823434446,-0.4464324027,1.191236054,0.3003375795,1.1809267001,-0.8405748843,-0.5447770517,-1.1226448365,1.0943123199,-0.3403208131,-1.0288791129,1.0144152772
Chad,11.6251599543,-1.2611193278,0.7839799627,-1.354021065,0.8662073878,0.8874805729,0.6231756715,1.7225119697,0.188807179,0.2406211891,-0.0032954144,-2.1895133393,0.7734655585,0.7785384449,0.1428164016,-1.2192885876,2.1312010666,-1.0331665478,-0.1073464617,-0.145036833,-0.2982256768,-1.0331505176,-0.5225568312,0.4230839243,-0.3812354087,-0.6272979605,-0.9299177006,-0.7280556221,-1.2569317961,0.1754078616
China,-1.1076648865,7.3185289487,-0.4046974512,2.7012673943,0.3007554318,-1.735010981,-1.8463670316,0.7956643781,-2.1540382053,0.7744394209,0.3007284922,-1.7574580673,-0.7068698995,0.0007524319,-1.9661242212,-0.2344241111,0.1741034982,-0.9601418021,-1.7153092644,1.2877769171,1.2186298561,0.4826144269,0.1219974404,0.362983678,-0.5370926756,0.1473269823,1.036313592,-0.1958710947,-1.6469268,0.1064230336
Colombia,0.1355485312,-1.1592928055,-1.4111129856,1.5412389898,-2.9115481453,-1.0868306059,0.4399045335,-0.6196301683,0.6279441926,0.5116132997,-0.2921062449,0.3038853404,0.6185183411,0.9909248597,0.3893356446,-1.0463993419,0.1020965087,-0.1789470866,0.5042156021,-0.2784242339,-0.5334322978,0.1121265468,-0.1015162573,0.0544673845,0.3035613752,-0.4081458709,0.8097794835,0.0657648271,-0.9356911722,0.0024002406
Republic of the Congo,7.0599867396,1.4111063195,4.4687885692,1.4325234859,-1.6062157793,1.3045135994,0.3594527496,-2.1237469028,-1.5303123944,1.856842291,1.076561404,0.3068407217,-0.9003844275,-1.2031765766,0.3671930058,0.3817172106,-0.3156110874,-1.1366156529,-0.8567976318,-1.5166667779,-0.3968441354,-0.5911051098,-0.0194793394,0.2316724439,-0.2275067676,-0.0743285209,0.4872152718,-0.7577674942,2.0869551685,-0.024199612
Costa Rica,-2.4527724335,-3.3404155304,0.896724306,0.9399683483,-0.1911288621,-0.8013234675,-0.0750493817,-1.3992929211,1.7178313072,0.9520902717,0.4047376821,-1.3652866519,-0.1889654921,-0.6252378368,-1.2927825664,0.8664130626,-0.5019631676,0.0625647383,0.1312307981,-0.3628485705,0.2776274658,0.8535987452,0.1163639703,0.0603499212,0.3807675484,-0.4093218831,1.1128541324,0.634115378,-0.3955542827,0.0240494261
Ivory Coast,3.9637339066,-2.0964532753,-0.8057599888,0.4035980264,-0.6508229142,-0.7099416823,0.89911972,2.7373942511,1.5042790263,0.688610116,-0.6592907399,-0.0593460346,0.7674454299,-0.853078552,0.7645712078,1.2344987219,-0.3728503359,-1.2608357524,-0.5549981387,-0.5478836779,0.1736516824,-0.011829651,-0.5266085643,-0.0493029873,0.0526400795,-0.1887668736,-1.3056230853,0.6891127477,0.3224466826,-1.1458071581
Cuba,1.0477001038,9.8456432829,3.6138560919,-1.4781491074,2.8801685821,-6.7073254442,1.9277434441,5.5063130081,2.4651203779,1.815521722,2.505013762,1.7516892976,-1.4611677342,-0.3584655511,3.4610276073,-0.3017805837,0.1666854446,0.908912351,0.6404559366,1.3126404249,-1.5614691854,0.6358929446,0.9924413981,-1.8773878831,-0.1912930328,0.0126564092,-0.7885678009,-1.2356250511,-0.1904500908,-1.1659259808
Democratic Republic of the Congo,9.8299402556,0.7326587992,6.2143821778,0.575494421,-2.625449047,-1.3976044421,1.107045193,0.4434767316,-2.5521895064,0.0415198795,-2.601987377,-2.2748619446,-0.1170190934,-1.1648838385,-0.8187380383,-1.9728647386,-0.1498956764,0.9946632793,0.3572026688,1.8308773352,-0.7855274033,-1.5117311482,1.7387298721,-0.9151565688,1.5128214305,-0.3213398717,-1.2360763717,0.8955910075,-0.9766163833,-0.7810192837
Dominican Republic,0.5751544241,-2.5424541192,-1.8625439305,0.5761449553,-0.4224558962,-1.2050840577,0.264137143,0.6149543963,1.0725963036,-0.3492132697,-0.4754061991,0.9501062443,-1.7464645237,0.1770094983,-0.0552038848,-0.6349523517,0.4230596594,0.5910323357,-0.146497387,-0.6113020373,-0.082477614,0.4924118016,0.2195212885,1.5083540313,-0.3809772173,0.0556174914,-1.1074169177,-0.4258809784,0.0952232569,0.4744268123
Ecuador,0.6106616781,-1.7907891787,-2.0219628743,0.1320525145,-2.3103863244,-1.1061188011,-0.6871800581,0.2943642762,0.6434567371,-0.1225893433,0.6432605353,-0.2529934646,0.6721442095,0.2244997882,0.7851043543,-1.606616857,-0.0907598078,0.1649945409,0.7098140453,0.3948711077,-0.5959986215,-0.2776570483,-0.7304935511,-0.6451573191,0.5973989954,-0.1068056095,0.5738508695,-0.2049219749,0.2895119722,-0.0825335841
Egypt,4.0828509724,3.7629320437,-3.5225189104,1.4249829838,0.1519961633,1.4250644566,0.5044993934,1.076950569,0.6862209915,0.9599529903,-0.9835789116,0.7528020164,-0.5590952438,-0.6720406654,1.3467940726,-2.0536321979,-2.0229755665,-0.1053036639,0.3699970723,-0.3484582995,-0.1837743203,-0.6923733722,0.7006569355,0.240145701,0.8437739901,0.9155002069,0.4151243608,0.2617287879,0.4359608788,-0.4098807111
El Salvador,2.1828212333,-4.809572495,-1.7584387536,-0.849424959,-1.6237506042,-1.3568121525,-0.1568714716,-1.5139142758,1.4870107185,1.2559694386,0.9765476802,1.2464035744,-0.3253962015,-0.7110665424,-0.651890367,-0.7364947821,0.6278882979,0.8798759364,-1.0739331057,-0.2095656502,-1.2504398161,-0.1309917162,0.4874268937,0.1159816404,0.2003973377,-0.4787455577,0.8235386584,0.6789346958,-0.1538576389,-0.5028150887
Ethiopia,8.5553505015,1.838181469,-0.6992760705,2.0076415375,2.8277441391,2.7142757799,-1.1788890302,1.8709658367,-0.5052146376,0.4343647663,2.3176106861,0.8479573507,0.3963134402,0.1541031721,-0.9115813797,-1.8301806111,-0.0116121307,1.174906622,0.1277906419,0.7784837302,0.5407824178,0.0556538453,0.8527986648,-0.3435459623,0.9287695462,1.140326932,0.266768866,-0.7645531432,0.1106766616,0.3508687342
Gabon,3.6877397714,-1.2310828674,-0.9116398271,1.7052760437,-0.780778369,-0.6133954389,1.0257544232,-1.626973303,0.0089606911,0.3548506152,-0.8575508937,-1.4681046489,0.3543484618,-0.9564753915,-0.1488992144,0.1751675672,1.0320164557,-2.9541766383,-0.4631470576,-1.7194507125,-0.4370554245,0.7432084085,1.5298218167,-1.7322183339,0.9727748176,-0.4932269017,-0.4394539066,-0.883641656,0.0655817401,0.3527781957
Georgia,-2.1501795577,-2.4058832835,-1.8833969359,0.5400855606,-0.829018311,0.2230109669,2.1682648276,-0.4389832011,-0.7406976076,0.032466714,-0.2878161839,1.1552965457,-0.386156546,1.0918501556,1.4448718081,-0.1627860032,-0.5532427561,0.3653419728,-0.2299109802,-1.0224617425,-0.2201547103,0.6205496989,0.2807160991,0.2977744216,0.4046366185,0.3522027912,-0.8342859832,0.2442416626,0.3949769011,-0.1713204286
Ghana,1.9413308326,-3.9364219846,-0.1035807113,0.2387924577,1.6017103251,0.0285154547,0.402310385,0.0580760618,1.0671387373,0.3594596649,0.4331889749,0.3015541908,-0.0243081984,-0.7729689125,0.2875717381,1.0774240636,-0.7029323049,0.2654873061,-0.1971227404,-0.5436567873,-0.7173860944,0.5176871803,0.158471984,0.0514738999,0.3629129144,0.1765739794,-0.8212689313,0.3052832322,-0.5923847442,-0.8403901879
Guatemala,1.6946062645,-2.2964955985,-1.3600257152,0.7160686443,-0.4017254294,-2.8173786116,-0.9422345721,-0.4251240971,1.7471536191,-1.0415281398,-0.4931376815,1.9719541586,-1.0177345062,-0.4501065739,-1.1836291831,-0.520546887,0.9139999041,-0.146629811,-1.6405158794,-0.4923674574,0.5575669651,0.4987417229,0.6764741569,0.5207922811,-1.4491349895,-0.4983994316,-0.1639496673,0.2146850585,-0.2733161111,-0.4489282083
Guinea,9.1005126209,-3.3270307793,1.778610987,1.8569946269,0.4564377405,0.220155287,0.7043206206,-1.0824653373,-0.3043764761,0.1898881808,-0.0214488462,0.0046736167,-0.0807411098,0.198537833,-1.3531611077,0.5486047116,0.4943071869,-0.7408076328,-0.3652475441,-0.9672576884,0.3171088167,1.1175420968,-1.6426568246,0.5242765229,0.3794621555,-1.1463638911,-0.024154811,-1.3399115045,-0.9331645397,-1.4610448053
Guyana,0.8604758722,-3.1873666748,-0.8542645006,0.1403029592,2.1295251027,2.6525744493,0.68708095,-2.1922781445,-0.2593549991,2.6126249839,-0.5906244983,0.7054029496,-0.1554844336,-1.8788361019,1.4272762479,-2.1610897104,0.9916682106,-0.246660249,-1.2741079116,-0.085394295,-0.95800795,-0.6019501424,-1.9548906548,-1.0919251136,-2.2060355872,-0.2072380323,2.0295531243,0.9595280132,0.2860004139,-0.6865830662
Haiti,8.234523476,-0.745459505,-0.6598200661,0.5148262025,1.9696978972,0.0059879007,-0.0947125299,0.4691539207,-0.8499891677,0.6832676633,-1.3669608434,-1.3522010686,-2.5832598145,-0.1044210795,-1.6323073758,0.6889875752,2.6858183748,1.3602128551,0.3466127979,0.4587622946,2.044183635,-2.0898261957,1.7517015203,0.7223670373,-0.626076773,-0.3494935734,-0.8151553694,-1.8412871483,1.6235320585,0.9971050348
Honduras,2.6763381437,-4.1735450002,-0.0424514869,0.0753781716,-1.6972408563,-2.1217301864,0.5336554781,0.6376385171,0.715408262,-0.7246249483,0.0718528686,0.4304161814,0.2866466009,0.3757957614,1.0723953728,-1.0573656738,-0.3109406779,0.9502758549,-0.6229261646,-1.0111119876,-0.8716609586,0.177204951,-0.1567729497,0.7089380691,-0.5812519965,0.3651775916,-0.0060754595,0.3646812074,-0.6799722978,-0.136611255
India,1.6936783711,1.2287193071,-1.1450807517,2.7436664601,1.1774261995,0.2043578544,-0.8166834681,-0.1481623147,1.0498798444,-0.7545673533,-0.0244428413,-0.9366408723,0.4455109931,0.2692192313,-0.2382190646,-0.5493700611,-0.9627888001,0.4623860721,-0.1466090808,0.0715990546,-0.6479621706,0.744402432,-0.1970034604,-0.5655164731,-0.8042229969,1.3043073347,0.4737881155,-0.9354137198,0.3736052371,-0.2122348037
Indonesia,0.9537491229,0.1444971028,-0.7443512867,2.0719242912,0.91988166,-1.6093180307,-0.0873863521,-0.9535587329,0.1806524069,0.2223991244,0.3880684761,1.2662729112,-0.3179946055,1.4026425104,-1.277856335,0.460994871,-0.1474100691,-0.7572782502,0.7869868957,0.3932628241,0.3233592054,1.0228418511,-0.145936953,0.5955185579,0.5912520101,0.616422711,0.5655812648,-0.4121830724,0.0945760056,0.3776349003
Iran,0.769129075,6.1262036294,-0.0330139028,1.6609842102,2.9043813406,-1.9449502647,0.0076143477,-2.8817174717,-0.2616521273,-1.2937413725,-1.0910675656,-1.953761482,-0.2962064776,-0.7981263309,-1.2214872007,-1.4813517807,0.4515100222,-0.880515837,0.2780607175,0.2067744326,-1.5111756039,0.0583011846,-0.579378876,1.0774845302,-1.5270553523,0.7287007231,-0.2917149776,-0.253051997,0.3188683337,0.2257050707
Jamaica,-0.856617638,-3.9796348808,-2.8035930016,-2.6307948346,0.3451310037,1.8349269663,-1.813839843,-0.7488846303,1.0045420948,-0.0270019353,2.0550320382,-0.586409891,-0.3742367432,-4.1544446811,-0.3845336107,0.3785716501,-0.776657969,2.3655121752,2.5008543328,1.9361034654,-0.9221143103,-1.0980688887,0.0795779182,0.6724085955,-1.0405769828,-0.546301136,-1.016727262,1.2963251465,0.5496600385,0.6447064516
Jordan,1.5557846627,2.7813088595,-2.8909323946,0.8886715977,-0.0184809396,1.6711801637,-2.0138228927,1.3182530141,4.0104207075,-0.4633476265,-0.2476764454,0.9962734124,0.0881729851,0.1319533584,0.6413716612,-1.06315933,0.1425496126,-0.3050048182,-0.3277471672,0.3856995785,0.0721906888,-1.3413374828,0.277890775,1.069839289,-0.1939295509,0.0342279011,-0.2209171372,-0.1306221879,-0.0325176175,1.2971406001
Kazakhstan,-0.373482798,5.3530350782,-2.0526282876,0.7047719993,-0.3647778512,1.0477392443,2.3279184128,-2.2159643875,-0.7770790842,1.3171017954,-0.4049023497,0.2728076047,0.6834346339,0.7854918956,-0.2656831849,1.5771869783,0.3429403464,0.8117966135,1.0102162076,0.5586655967,-0.3329421783,0.1037370805,-0.0459930153,-0.3597625751,0.4724348079,-0.3768962235,-0.5650829619,-0.0377761017,0.2530780852,0.3438075491
Kenya,2.5781141778,-0.336730244,-0.3287030909,0.6219949953,0.4462220514,-1.5429751028,-0.958596329,1.1279329791,0.8848326296,0.8337120637,-1.0319999297,0.2316321461,1.3624496531,0.6256911913,0.1823624565,-0.0647904911,1.0485318184,-0.7244104739,1.0251742342,0.5962946714,0.2112110679,0.7546274872,-0.3402752217,1.2374257917,-0.0609328553,-0.6030014116,-0.3394833658,1.1094775183,1.1455530344,-1.4799096836
Kyrgyzstan,1.3858587425,-1.6630691626,-1.2617605919,-1.0460354797,1.2349593023,-0.4384477657,0.8955255076,-1.77752603,-0.0769216364,0.120305217,-0.7507601027,1.2322755876,-0.038159834,-0.0347818869,0.646331099,1.283117086,0.1281691264,-0.1173307749,-0.0982244586,0.0040286703,-0.4893438179,0.2188929206,-0.7926287839,-0.1317252178,-0.5031720405,-0.9739941205,0.1570736184,-0.490532813,0.6319731241,1.6086117768
Laos,5.9790895542,0.8688287782,-0.8811343591,0.8665751602,1.2042661835,-2.3363046424,1.4032281249,-1.3891029487,-3.2790517432,0.7167488402,0.5873625951,2.1935292832,-0.9913961411,1.4070309196,-0.265973148,-1.7728062994,-1.7680551993,0.565128501,-0.2379884768,-0.5958444253,0.9301250567,0.2963767729,-0.0488601215,0.3971986842,0.2219324195,0.1748691112,0.5025469047,0.221332826,-0.6466622688,-1.0914113658
Lebanon,1.439198187,1.8233532967,-3.9490222252,-1.7682576811,-0.9155886815,0.8751181764,-0.5160815117,1.8175899643,0.694068555,1.3661961306,0.4387007996,-0.39161007,-0.5216832275,-1.0679837949,-0.6867277004,-0.9167951476,0.425221099,0.7676144362,0.0979099099,-0.6032538458,1.5533236456,-0.6753131668,-0.5060160746,0.1140342307,0.9878880316,-0.4497781707,-1.6087993653,-1.2070555973,0.6216459754,0.5176415498
Lesotho,3.4988323473,-2.5723090302,-0.9430393706,-1.7056835132,0.9818531785,-2.4713101358,-0.9606702627,1.1550398031,-0.7403275678,-1.0888474066,-1.0306178742,0.792910052,-0.6428705246,1.5764499976,0.2310774164,1.5740317448,-0.0154647345,-0.2711719142,0.8401924601,-0.1086855611,0.345106695,-0.9679726179,-0.091528661,0.1380387765,0.5744929115,0.7962222107,-1.0636890561,-0.1146319548,0.0195441052,0.0638759677
Liberia,6.1620342361,-5.4398062454,1.4261701995,-0.4471427018,2.2254670697,-0.4072115403,-0.5439538077,0.7961516367,0.0473786057,0.789252043,1.5245249532,0.0942495425,0.097153872,0.1451231763,0.2759333697,-0.8253802057,0.7228043886,-0.9649546675,-1.0823908588,0.9985323676,-0.0721584989,-0.3877380039,0.2214327881,0.8738239533,-0.066429485,0.1708100153,-0.308814766,1.4085421529,-0.2387637544,-0.4732430242
Libya,3.3159030801,0.8737578322,1.1962039835,-2.0342516298,-1.2019434124,-3.6371360509,-0.1984721435,-3.7358172473,1.9686902948,0.2415853995,-0.6995355914,-1.2329251783,3.1317977916,-2.5171248269,3.953067456,0.747263264,-1.8593859854,2.857948625,-1.9006907344,2.2130323944,1.6700117937,1.7400784399,0.427467896,-0.0934157966,1.095339507,0.5836647854,1.6356584839,-3.0281138092,0.4205135304,-0.5042710292
Madagascar,7.4718998575,-5.0821130239,2.4626800392,1.3835811131,-0.0488287509,-3.1571224188,-0.114109277,0.2405526486,-1.8860080683,-0.6820921518,-0.0550448983,0.0520074213,0.3601456804,0.4233350012,0.9735090331,-0.7579534657,-0.1203420768,-0.5985775956,-0.0803030475,0.4676557948,-0.833124378,-0.353414542,-1.3030858587,0.2395635079,-1.0336711224,-0.7027595189,-0.0311478191,0.2584152621,0.8986722165,0.5881288829
Malawi,7.4542697218,-4.4464889708,1.4065683369,-1.0974679579,2.1849820331,0.2565292472,-0.9993967054,0.7409606845,-1.4858670586,-0.5902148024,0.2686963793,-0.0925787357,0.1373057585,0.4363969783,0.1330468311,-0.4972784159,1.2219885177,0.5664425667,-0.1367749807,0.9586506628,0.0301477371,0.9442766453,0.389086182,1.0960228646,-0.2640819112,0.0041087717,-1.0623576793,1.126853024,0.2871109248,-0.0654751084
Malaysia,-3.5056562875,2.8006845282,1.3438880537,3.753652793,-1.1787212843,-0.6342389944,-1.4339540237,0.033115486,0.8817340539,-1.3199328895,0.6915806178,-1.2100100777,0.555440549,0.1302406749,-0.2176412226,1.4539190701,-0.2087185236,0.0023926073,-0.1777041455,0.5911301238,-0.1549428126,0.7916402521,0.1880227876,-0.6282197886,-1.2244883629,0.4526790501,-0.4984466056,0.9284059805,0.4268288357,1.1251924806
